cycle,hour_cyc,stp,value
0,0,1,18.0
1,1,1,18.0
2,2,1,18.0
3,3,1,18.0
4,4,1,18.0
5,5,1,18.0
6,6,1,19.0
7,7,1,19.0
8,8,1,20.0
9,9,1,20.0
10,10,1,20.0
11,11,1,20.0
12,12,1,22.0
13,13,1,22.0
14,14,1,22.0
15,15,1,22.0
16,16,1,22.0
17,17,1,22.0
18,18,1,22.0
19,19,1,20.0
20,20,1,20.0
21,21,1,20.0
22,22,1,20.0
23,23,1,20.0
24,0,1,18.0
25,1,1,18.0
26,2,1,18.0
27,3,1,18.0
28,4,1,18.0
29,5,1,18.0
30,6,1,19.0
31,7,1,19.0
32,8,1,20.0
33,9,1,20.0
34,10,1,20.0
35,11,1,20.0
36,12,1,22.0
37,13,1,22.0
38,14,1,22.0
39,15,1,22.0
40,16,1,22.0
41,17,1,22.0
42,18,1,22.0
43,19,1,20.0
44,20,1,20.0
45,21,1,20.0
46,22,1,20.0
47,23,1,20.0
48,0,1,18.0
49,1,1,18.0
50,2,1,18.0
51,3,1,18.0
52,4,1,18.0
53,5,1,18.0
54,6,1,19.0
55,7,1,19.0
56,8,1,20.0
57,9,1,20.0
58,10,1,20.0
59,11,1,20.0
60,12,1,22.0
61,13,1,22.0
62,14,1,22.0
63,15,1,22.0
64,16,1,22.0
65,17,1,22.0
66,18,1,22.0
67,19,1,20.0
68,20,1,20.0
69,21,1,20.0
70,22,1,20.0
71,23,1,20.0
72,0,1,18.0
73,1,1,18.0
74,2,1,18.0
75,3,1,18.0
76,4,1,18.0
77,5,1,18.0
78,6,1,19.0
79,7,1,19.0
80,8,1,20.0
81,9,1,20.0
82,10,1,20.0
83,11,1,20.0
84,12,1,22.0
85,13,1,22.0
86,14,1,22.0
87,15,1,22.0
88,16,1,22.0
89,17,1,22.0
90,18,1,22.0
91,19,1,20.0
92,20,1,20.0
93,21,1,20.0
94,22,1,20.0
95,23,1,20.0
96,0,1,18.0
97,1,1,18.0
98,2,1,18.0
99,3,1,18.0
100,4,1,18.0
101,5,1,18.0
102,6,1,19.0
103,7,1,19.0
104,8,1,20.0
105,9,1,20.0
106,10,1,20.0
107,11,1,20.0
108,12,1,22.0
109,13,1,22.0
110,14,1,22.0
111,15,1,22.0
112,16,1,22.0
113,17,1,22.0
114,18,1,22.0
115,19,1,20.0
116,20,1,20.0
117,21,1,20.0
118,22,1,20.0
119,23,1,20.0
120,0,1,18.0
121,1,1,18.0
122,2,1,18.0
123,3,1,18.0
124,4,1,18.0
125,5,1,18.0
126,6,1,19.0
127,7,1,19.0
128,8,1,20.0
129,9,1,20.0
130,10,1,20.0
131,11,1,20.0
132,12,1,22.0
133,13,1,22.0
134,14,1,22.0
135,15,1,22.0
136,16,1,22.0
137,17,1,22.0
138,18,1,22.0
139,19,1,20.0
140,20,1,20.0
141,21,1,20.0
142,22,1,20.0
143,23,1,20.0
144,0,1,18.0
145,1,1,18.0
146,2,1,18.0
147,3,1,18.0
148,4,1,18.0
149,5,1,18.0
150,6,1,19.0
151,7,1,19.0
152,8,1,20.0
153,9,1,20.0
154,10,1,20.0
155,11,1,20.0
156,12,1,22.0
157,13,1,22.0
158,14,1,22.0
159,15,1,22.0
160,16,1,22.0
161,17,1,22.0
162,18,1,22.0
163,19,1,20.0
164,20,1,20.0
165,21,1,20.0
166,22,1,20.0
167,23,1,20.0
168,0,1,18.0
169,1,1,18.0
170,2,1,18.0
171,3,1,18.0
172,4,1,18.0
173,5,1,18.0
174,6,1,19.0
175,7,1,19.0
176,8,1,20.0
177,9,1,20.0
178,10,1,20.0
179,11,1,20.0
180,12,1,22.0
181,13,1,22.0
182,14,1,22.0
183,15,1,22.0
184,16,1,22.0
185,17,1,22.0
186,18,1,22.0
187,19,1,20.0
188,20,1,20.0
189,21,1,20.0
190,22,1,20.0
191,23,1,20.0
192,0,1,18.0
193,1,1,18.0
194,2,1,18.0
195,3,1,18.0
196,4,1,18.0
197,5,1,18.0
198,6,1,19.0
199,7,1,19.0
200,8,1,20.0
201,9,1,20.0
202,10,1,20.0
203,11,1,20.0
204,12,1,22.0
205,13,1,22.0
206,14,1,22.0
207,15,1,22.0
208,16,1,22.0
209,17,1,22.0
210,18,1,22.0
211,19,1,20.0
212,20,1,20.0
213,21,1,20.0
214,22,1,20.0
215,23,1,20.0
216,0,1,18.0
217,1,1,18.0
218,2,1,18.0
219,3,1,18.0
220,4,1,18.0
221,5,1,18.0
222,6,1,19.0
223,7,1,19.0
224,8,1,20.0
225,9,1,20.0
226,10,1,20.0
227,11,1,20.0
228,12,1,22.0
229,13,1,22.0
230,14,1,22.0
231,15,1,22.0
232,16,1,22.0
233,17,1,22.0
234,18,1,22.0
235,19,1,20.0
236,20,1,20.0
237,21,1,20.0
238,22,1,20.0
239,23,1,20.0
240,0,1,18.0
241,1,1,18.0
242,2,1,18.0
243,3,1,18.0
244,4,1,18.0
245,5,1,18.0
246,6,1,19.0
247,7,1,19.0
248,8,1,20.0
249,9,1,20.0
250,10,1,20.0
251,11,1,20.0
252,12,1,22.0
253,13,1,22.0
254,14,1,22.0
255,15,1,22.0
256,16,1,22.0
257,17,1,22.0
258,18,1,22.0
259,19,1,20.0
260,20,1,20.0
261,21,1,20.0
262,22,1,20.0
263,23,1,20.0
264,0,1,18.0
265,1,1,18.0
266,2,1,18.0
267,3,1,18.0
268,4,1,18.0
269,5,1,18.0
270,6,1,19.0
271,7,1,19.0
272,8,1,20.0
273,9,1,20.0
274,10,1,20.0
275,11,1,20.0
276,12,1,22.0
277,13,1,22.0
278,14,1,22.0
279,15,1,22.0
280,16,1,22.0
281,17,1,22.0
282,18,1,22.0
283,19,1,20.0
284,20,1,20.0
285,21,1,20.0
286,22,1,20.0
287,23,1,20.0
288,0,1,18.0
289,1,1,18.0
290,2,1,18.0
291,3,1,18.0
292,4,1,18.0
293,5,1,18.0
294,6,1,19.0
295,7,1,19.0
296,8,1,20.0
297,9,1,20.0
298,10,1,20.0
299,11,1,20.0
300,12,1,22.0
301,13,1,22.0
302,14,1,22.0
303,15,1,22.0
304,16,1,22.0
305,17,1,22.0
306,18,1,22.0
307,19,1,20.0
308,20,1,20.0
309,21,1,20.0
310,22,1,20.0
311,23,1,20.0
312,0,1,18.0
313,1,1,18.0
314,2,1,18.0
315,3,1,18.0
316,4,1,18.0
317,5,1,18.0
318,6,1,19.0
319,7,1,19.0
320,8,1,20.0
321,9,1,20.0
322,10,1,20.0
323,11,1,20.0
324,12,1,22.0
325,13,1,22.0
326,14,1,22.0
327,15,1,22.0
328,16,1,22.0
329,17,1,22.0
330,18,1,22.0
331,19,1,20.0
